User_ID,Game_Type,Model_Type,Num_Samples,Genuine_Accuracy,Impostor_Accuracy,Overall_Accuracy,Num_Impostor_IDs
33,forklift_simulator,RandomForest,3,1,1.0,1.0,2
33,forklift_simulator,RandomForest,4,1,0.0,0.5,0
33,forklift_simulator,RandomForest,5,1,0.0,0.5,0
33,forklift_simulator,RandomForest,6,1,0.0,0.5,0
33,forklift_simulator,RandomForest,7,1,0.0,0.5,0
33,forklift_simulator,RandomForest,8,1,0.0,0.5,0
33,forklift_simulator,RandomForest,9,1,0.0,0.5,0
33,forklift_simulator,RandomForest,10,1,0.0,0.5,0
34,forklift_simulator,RandomForest,1,1,1.0,1.0,12
34,forklift_simulator,RandomForest,2,1,1.0,1.0,3
34,forklift_simulator,RandomForest,3,1,1.0,1.0,2
34,forklift_simulator,RandomForest,4,1,1.0,1.0,1
34,forklift_simulator,RandomForest,5,1,0.0,0.5,0
34,forklift_simulator,RandomForest,6,1,0.0,0.5,0
34,forklift_simulator,RandomForest,7,1,0.0,0.5,0
34,forklift_simulator,RandomForest,8,1,0.0,0.5,0
34,forklift_simulator,RandomForest,9,1,0.0,0.5,0
34,forklift_simulator,RandomForest,10,1,0.0,0.5,0
35,forklift_simulator,RandomForest,1,1,1.0,1.0,12
35,forklift_simulator,RandomForest,2,1,0.75,0.875,4
35,forklift_simulator,RandomForest,3,1,1.0,1.0,1
35,forklift_simulator,RandomForest,4,1,1.0,1.0,1
35,forklift_simulator,RandomForest,5,1,1.0,1.0,1
35,forklift_simulator,RandomForest,6,1,1.0,1.0,1
35,forklift_simulator,RandomForest,7,1,1.0,1.0,1
35,forklift_simulator,RandomForest,8,1,0.0,0.5,0
35,forklift_simulator,RandomForest,9,1,0.0,0.5,0
35,forklift_simulator,RandomForest,10,1,0.0,0.5,0
36,forklift_simulator,RandomForest,1,1,1.0,1.0,12
36,forklift_simulator,RandomForest,2,1,1.0,1.0,3
36,forklift_simulator,RandomForest,3,1,1.0,1.0,2
36,forklift_simulator,RandomForest,4,1,1.0,1.0,2
36,forklift_simulator,RandomForest,5,1,1.0,1.0,2
36,forklift_simulator,RandomForest,6,1,1.0,1.0,2
36,forklift_simulator,RandomForest,7,1,0.0,0.5,0
36,forklift_simulator,RandomForest,8,1,0.0,0.5,0
36,forklift_simulator,RandomForest,9,1,0.0,0.5,0
36,forklift_simulator,RandomForest,10,1,0.0,0.5,0
37,forklift_simulator,RandomForest,1,1,1.0,1.0,12
37,forklift_simulator,RandomForest,2,1,1.0,1.0,3
37,forklift_simulator,RandomForest,3,1,1.0,1.0,2
37,forklift_simulator,RandomForest,4,1,1.0,1.0,2
37,forklift_simulator,RandomForest,5,1,1.0,1.0,2
37,forklift_simulator,RandomForest,6,1,1.0,1.0,2
37,forklift_simulator,RandomForest,7,1,1.0,1.0,2
37,forklift_simulator,RandomForest,8,1,0.0,0.5,0
37,forklift_simulator,RandomForest,9,1,0.0,0.5,0
37,forklift_simulator,RandomForest,10,1,0.0,0.5,0
38,forklift_simulator,RandomForest,1,1,1.0,1.0,10
38,forklift_simulator,RandomForest,2,1,1.0,1.0,2
38,forklift_simulator,RandomForest,3,1,1.0,1.0,2
38,forklift_simulator,RandomForest,4,1,1.0,1.0,2
38,forklift_simulator,RandomForest,5,1,1.0,1.0,2
38,forklift_simulator,RandomForest,6,1,1.0,1.0,1
38,forklift_simulator,RandomForest,7,1,0.0,0.5,0
38,forklift_simulator,RandomForest,8,1,0.0,0.5,0
38,forklift_simulator,RandomForest,9,1,0.0,0.5,0
38,forklift_simulator,RandomForest,10,1,0.0,0.5,0
39,forklift_simulator,RandomForest,1,1,1.0,1.0,10
39,forklift_simulator,RandomForest,2,1,1.0,1.0,5
39,forklift_simulator,RandomForest,3,1,1.0,1.0,2
39,forklift_simulator,RandomForest,4,1,1.0,1.0,2
39,forklift_simulator,RandomForest,5,1,1.0,1.0,2
39,forklift_simulator,RandomForest,6,1,1.0,1.0,2
39,forklift_simulator,RandomForest,7,1,1.0,1.0,1
39,forklift_simulator,RandomForest,8,1,0.0,0.5,0
39,forklift_simulator,RandomForest,9,1,0.0,0.5,0
39,forklift_simulator,RandomForest,10,1,0.0,0.5,0
40,forklift_simulator,RandomForest,1,0,1.0,0.5,13
40,forklift_simulator,RandomForest,2,1,1.0,1.0,3
40,forklift_simulator,RandomForest,3,1,1.0,1.0,2
40,forklift_simulator,RandomForest,4,1,1.0,1.0,1
40,forklift_simulator,RandomForest,5,1,1.0,1.0,1
40,forklift_simulator,RandomForest,6,1,0.0,0.5,0
40,forklift_simulator,RandomForest,7,1,0.0,0.5,0
40,forklift_simulator,RandomForest,8,1,0.0,0.5,0
40,forklift_simulator,RandomForest,9,1,0.0,0.5,0
40,forklift_simulator,RandomForest,10,1,0.0,0.5,0
41,forklift_simulator,RandomForest,1,1,1.0,1.0,11
41,forklift_simulator,RandomForest,2,1,1.0,1.0,4
41,forklift_simulator,RandomForest,3,1,1.0,1.0,3
41,forklift_simulator,RandomForest,4,1,0.0,0.5,0
41,forklift_simulator,RandomForest,5,1,0.0,0.5,0
41,forklift_simulator,RandomForest,6,1,0.0,0.5,0
41,forklift_simulator,RandomForest,7,1,0.0,0.5,0
41,forklift_simulator,RandomForest,8,1,0.0,0.5,0
41,forklift_simulator,RandomForest,9,1,0.0,0.5,0
41,forklift_simulator,RandomForest,10,1,0.0,0.5,0
42,forklift_simulator,RandomForest,1,1,1.0,1.0,12
42,forklift_simulator,RandomForest,2,1,1.0,1.0,4
42,forklift_simulator,RandomForest,3,1,1.0,1.0,1
42,forklift_simulator,RandomForest,4,1,1.0,1.0,1
42,forklift_simulator,RandomForest,5,1,1.0,1.0,1
42,forklift_simulator,RandomForest,6,1,0.0,0.5,0
42,forklift_simulator,RandomForest,7,1,0.0,0.5,0
42,forklift_simulator,RandomForest,8,1,0.0,0.5,0
42,forklift_simulator,RandomForest,9,1,0.0,0.5,0
42,forklift_simulator,RandomForest,10,1,0.0,0.5,0
43,forklift_simulator,RandomForest,1,1,1.0,1.0,13
43,forklift_simulator,RandomForest,2,1,1.0,1.0,3
