Threshold,Accuracy,Precision,Recall,F1,FAR,FRR
0.0,0.36363636363636365,0.36363636363636365,1.0,0.5333333333333333,1.0,0.0
0.1,0.7878787878787878,0.631578947368421,1.0,0.7741935483870968,0.3333333333333333,0.0
0.2,0.9696969696969697,0.9230769230769231,1.0,0.96,0.047619047619047616,0.0
0.30000000000000004,1.0,1.0,1.0,1.0,0.0,0.0
0.4,1.0,1.0,1.0,1.0,0.0,0.0
0.5,1.0,1.0,1.0,1.0,0.0,0.0
0.6000000000000001,0.9090909090909091,1.0,0.75,0.8571428571428571,0.0,0.25
0.7000000000000001,0.9090909090909091,1.0,0.75,0.8571428571428571,0.0,0.25
0.8,0.9090909090909091,1.0,0.75,0.8571428571428571,0.0,0.25
0.9,0.7878787878787878,1.0,0.4166666666666667,0.5882352941176471,0.0,0.5833333333333334
1.0,0.6363636363636364,0.0,0.0,0.0,0.0,1.0
