Threshold,Accuracy,Precision,Recall,F1,FAR,FRR
0.0,0.35294117647058826,0.35294117647058826,1.0,0.5217391304347826,1.0,0.0
0.1,0.5294117647058824,0.42857142857142855,1.0,0.6,0.7272727272727273,0.0
0.2,0.7352941176470589,0.5714285714285714,1.0,0.7272727272727273,0.4090909090909091,0.0
0.30000000000000004,0.8823529411764706,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.13636363636363635,0.08333333333333333
0.4,0.8823529411764706,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.09090909090909091,0.16666666666666666
0.5,0.9117647058823529,1.0,0.75,0.8571428571428571,0.0,0.25
0.6000000000000001,0.9117647058823529,1.0,0.75,0.8571428571428571,0.0,0.25
0.7000000000000001,0.9117647058823529,1.0,0.75,0.8571428571428571,0.0,0.25
0.8,0.7941176470588235,1.0,0.4166666666666667,0.5882352941176471,0.0,0.5833333333333334
0.9,0.7058823529411765,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334
1.0,0.6470588235294118,0.0,0.0,0.0,0.0,1.0
