Threshold,Accuracy,Precision,Recall,F1,FAR,FRR
0.0,0.41379310344827586,0.41379310344827586,1.0,0.5853658536585366,1.0,0.0
0.1,0.8275862068965517,0.7058823529411765,1.0,0.8275862068965517,0.29411764705882354,0.0
0.2,0.9310344827586207,0.8571428571428571,1.0,0.9230769230769231,0.11764705882352941,0.0
0.30000000000000004,0.9655172413793104,0.9230769230769231,1.0,0.96,0.058823529411764705,0.0
0.4,0.9655172413793104,0.9230769230769231,1.0,0.96,0.058823529411764705,0.0
0.5,1.0,1.0,1.0,1.0,0.0,0.0
0.6000000000000001,0.896551724137931,1.0,0.75,0.8571428571428571,0.0,0.25
0.7000000000000001,0.896551724137931,1.0,0.75,0.8571428571428571,0.0,0.25
0.8,0.8620689655172413,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333
0.9,0.7586206896551724,1.0,0.4166666666666667,0.5882352941176471,0.0,0.5833333333333334
1.0,0.5862068965517241,0.0,0.0,0.0,0.0,1.0
