Threshold,Accuracy,Precision,Recall,F1,FAR,FRR
0.0,0.35294117647058826,0.35294117647058826,1.0,0.5217391304347826,1.0,0.0
0.1,0.6470588235294118,0.5,1.0,0.6666666666666666,0.5454545454545454,0.0
0.2,0.8823529411764706,0.75,1.0,0.8571428571428571,0.18181818181818182,0.0
0.30000000000000004,0.9411764705882353,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.045454545454545456,0.08333333333333333
0.4,0.9411764705882353,1.0,0.8333333333333334,0.9090909090909091,0.0,0.16666666666666666
0.5,0.9117647058823529,1.0,0.75,0.8571428571428571,0.0,0.25
0.6000000000000001,0.9117647058823529,1.0,0.75,0.8571428571428571,0.0,0.25
0.7000000000000001,0.8823529411764706,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333
0.8,0.7941176470588235,1.0,0.4166666666666667,0.5882352941176471,0.0,0.5833333333333334
0.9,0.6764705882352942,1.0,0.08333333333333333,0.15384615384615385,0.0,0.9166666666666666
1.0,0.6470588235294118,0.0,0.0,0.0,0.0,1.0
