Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadPosX_mean,0.19803049992966099,0.07355635690233484,0.5887422231922722,0.09212399800233126,,,0.06629461963805418,0.3907117232626112,
LeftTouchPosX_50%,0.2736234011532331,0.08513708798965094,0.5655541283748392,0.1083948295940677,,,0.061911741865536066,0.2919307272216061,
HeadPosX_max,0.1901034354213545,0.06572346022963986,0.5699363981298086,0.09613759066566506,,,0.05695561360162202,0.37983296270845407,
HeadPosX_min,0.1939015651665887,0.08346326258077913,0.572068548944417,0.09215334471636981,,,0.053136194766193634,0.3781669837778283,
RightTouchPosX_50%,0.189020421627791,0.05860296544049251,0.6185752057397982,0.08106512554929407,,,0.050969990367976885,0.4295547841120072,
RightTouchPosX_25%,0.1843466994135632,0.06407898641003049,0.6185813948284408,0.08469614867580608,,,0.044358423848487545,0.4342346954148776,
LeftTouchPosX_75%,0.2743552839648919,0.08400113111616712,0.5830724034013304,0.1173577366948958,,,0.03166734465836674,0.3087171194364385,
HeadPosX_25%,0.21942985092320905,0.07648104881569553,0.5899339034883374,0.09140013796429575,,,0.030766363597413564,0.37050405256512836,
HeadPosX_50%,0.22906571664786834,0.07176850578485829,0.6045077776125519,0.09114114811684275,,,0.03013907633574142,0.3754420609646836,
LeftTouchPosX_mean,0.25608424244117634,0.08526999457803264,0.5556057938785852,0.1111735444324666,,,0.02931549822470566,0.2995215514374089,
