Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
LeftTouchPosZ_max,0.470098155861119,0.01211838537031998,0.3497272036532095,0.012892819506340667,,,0.08100205747742745,0.12037095220790955,
RightTouchPosZ_mean,0.5276306643727268,0.00987611155230708,0.36400175796671574,0.010667992034593468,,,0.06238312017186491,0.16362890640601102,
RightTouchPosZ_25%,0.5463008189206945,0.005370857241537186,0.38355399460722484,0.013667339293445314,,,0.06076131580414847,0.16274682431346965,
LeftTouchPosZ_mean,0.4983649991946337,0.011109672870587735,0.3771594576940708,0.014269471254544851,,,0.05804943289561449,0.1212055415005629,
LeftTouchPosZ_75%,0.4838693375619939,0.007549980228993394,0.3595894805769263,0.012892055490180335,,,0.0570519693393014,0.1242798569850676,
RightTouchPosZ_min,0.5778748677139599,0.00746552902343188,0.4102285360650305,0.016710014198841272,,,0.050576778575937,0.1676463316489294,
RightTouchPosZ_50%,0.5174945893976329,0.00930586209405601,0.3586973100810564,0.011770696764112114,,,0.04168382203620266,0.15879727931657656,
LeftTouchOrientationY_25%,0.19743603406595428,0.09895021306849555,0.47392544629151495,0.043631471450665364,,,0.037700014213225545,0.27648941222556067,
RightTouchPosZ_75%,0.5098517254284894,0.01809528978105131,0.345464964131143,0.01250363393862655,,,0.031857251699004586,0.16438676129734642,
HeadOrientationY_mean,0.20945846453092545,0.03634915977540672,0.48045961502425644,0.04378304024742443,,,0.03160029399612733,0.27100115049333096,
