Target_User_ID,Base_User_ID,Intruder_Type,Adaptation_Factor,Authentication_Success,Confidence,Game_Type,Num_Samples,Genuine_Votes,Total_Votes,Genuine_Percent
13,10,physical,0.88,False,0.19666666666666666,beat_saber,3,0,3,0.0
13,10,physical,0.88,False,0.19333333333333336,beat_saber,3,0,3,0.0
13,10,physical,0.88,False,0.19333333333333333,beat_saber,3,0,3,0.0
13,10,physical,0.88,False,0.1975,beat_saber,4,0,4,0.0
13,10,physical,0.88,False,0.1825,beat_saber,4,0,4,0.0
13,10,physical,0.88,False,0.198,beat_saber,5,0,5,0.0
13,10,physical,0.88,False,0.196,beat_saber,5,0,5,0.0
13,10,physical,0.88,False,0.19499999999999998,beat_saber,6,0,6,0.0
13,10,physical,0.88,False,0.18857142857142856,beat_saber,7,0,7,0.0
13,10,physical,0.88,False,0.18999999999999997,beat_saber,8,0,8,0.0
13,10,physical,0.88,False,0.19444444444444442,beat_saber,9,0,9,0.0
13,10,physical,0.88,False,0.19699999999999998,beat_saber,10,0,10,0.0
14,10,physical,0.93,False,0.22999999999999998,beat_saber,3,0,3,0.0
14,10,physical,0.93,False,0.24333333333333332,beat_saber,3,0,3,0.0
14,10,physical,0.93,False,0.21999999999999997,beat_saber,3,0,3,0.0
14,10,physical,0.93,False,0.24,beat_saber,4,0,4,0.0
14,10,physical,0.93,False,0.23,beat_saber,4,0,4,0.0
14,10,physical,0.93,False,0.238,beat_saber,5,0,5,0.0
14,10,physical,0.93,False,0.22799999999999998,beat_saber,5,0,5,0.0
14,10,physical,0.93,False,0.23666666666666666,beat_saber,6,0,6,0.0
14,10,physical,0.93,False,0.23428571428571426,beat_saber,7,0,7,0.0
14,10,physical,0.93,False,0.235,beat_saber,8,0,8,0.0
14,10,physical,0.93,False,0.23111111111111113,beat_saber,9,0,9,0.0
14,10,physical,0.93,False,0.233,beat_saber,10,0,10,0.0
16,10,physical,1.0,False,0.3133333333333333,beat_saber,3,0,3,0.0
16,10,physical,1.0,False,0.32,beat_saber,3,0,3,0.0
16,10,physical,1.0,False,0.30000000000000004,beat_saber,3,0,3,0.0
16,10,physical,1.0,False,0.32,beat_saber,4,0,4,0.0
16,10,physical,1.0,False,0.295,beat_saber,4,0,4,0.0
16,10,physical,1.0,False,0.322,beat_saber,5,0,5,0.0
16,10,physical,1.0,False,0.30400000000000005,beat_saber,5,0,5,0.0
16,10,physical,1.0,False,0.3166666666666667,beat_saber,6,0,6,0.0
16,10,physical,1.0,False,0.3057142857142857,beat_saber,7,0,7,0.0
16,10,physical,1.0,False,0.3075,beat_saber,8,0,8,0.0
16,10,physical,1.0,False,0.3111111111111111,beat_saber,9,0,9,0.0
16,10,physical,1.0,False,0.313,beat_saber,10,0,10,0.0
17,10,physical,0.99,False,0.15333333333333335,beat_saber,3,0,3,0.0
17,10,physical,0.99,False,0.16,beat_saber,3,0,3,0.0
17,10,physical,0.99,False,0.16,beat_saber,3,0,3,0.0
17,10,physical,0.99,False,0.1525,beat_saber,4,0,4,0.0
17,10,physical,0.99,False,0.1625,beat_saber,4,0,4,0.0
17,10,physical,0.99,False,0.15,beat_saber,5,0,5,0.0
17,10,physical,0.99,False,0.17,beat_saber,5,0,5,0.0
17,10,physical,0.99,False,0.15666666666666665,beat_saber,6,0,6,0.0
17,10,physical,0.99,False,0.1557142857142857,beat_saber,7,0,7,0.0
17,10,physical,0.99,False,0.15749999999999997,beat_saber,8,0,8,0.0
17,10,physical,0.99,False,0.15777777777777774,beat_saber,9,0,9,0.0
17,10,physical,0.99,False,0.15999999999999998,beat_saber,10,0,10,0.0
24,10,physical,0.97,False,0.25,beat_saber,3,0,3,0.0
24,10,physical,0.97,False,0.28,beat_saber,3,0,3,0.0
24,10,physical,0.97,False,0.26333333333333336,beat_saber,3,0,3,0.0
