Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadOrientationW_min,0.9827320541600998,0.017247012110805593,0.11331739790411305,0.043948046304170256,,,0.07367966051215713,0.8694146562559868,
HeadOrientationW_50%,0.9936601715590593,0.004505503665600838,0.1486200753260983,0.04504886398055754,,,0.057486062733263586,0.845040096232961,
HeadOrientationW_25%,0.9904506825391247,0.007866218712173,0.1344098002093525,0.04473415087071277,,,0.052688639430396374,0.8560408823297723,
RightTouchPosY_25%,0.44981655458887104,0.03884338820698602,0.30585555149007315,0.017949968301181646,,,0.050753299521016954,0.1439610030987979,
RightTouchPosY_min,0.49354588584119025,0.041191993030946526,0.3459899648870099,0.013755346883299348,,,0.04475883446794502,0.14755592095418035,
HeadOrientationW_max,0.9969027724105232,0.0026071470559139655,0.21262092696373439,0.0709225489132597,,,0.041517178117496834,0.7842818454467888,
RightTouchPosY_mean,0.355643053404965,0.043215167435349575,0.1961261783660117,0.026715439016113993,,,0.03842265652159185,0.1595168750389533,
HeadOrientationW_75%,0.9954450267217874,0.0030962789863048187,0.1677915503283375,0.047596870615275226,,,0.037947643523585824,0.8276534763934499,
LeftTouchPosY_mean,0.4150027774937829,0.06262699974078267,0.2466522924151598,0.052703409198354194,,,0.027545152810115235,0.1683504850786231,
HeadOrientationZ_mean,0.5379789766570344,0.017065007223482878,0.4177282900265528,0.03762557557085522,,,0.021010798496828548,0.1202506866304816,
