Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadPosY_50%,0.961352803116456,0.019950191873818458,0.968951494018638,0.003871901173981252,,,0.06686948439273047,0.007598690902182015,
HeadPosY_max,0.9466665820965839,0.00851910692185639,0.9479536330426588,0.009989266809991458,,,0.061735819073954215,0.0012870509460748414,
HeadPosY_25%,0.9593385108444299,0.0501850816883493,0.9685284502521287,0.02224089677811842,,,0.0566175210214603,0.009189939407698855,
HeadPosY_75%,0.9423193676794868,0.006209733964137294,0.9472132476284945,0.005244228437588483,,,0.0524051826548277,0.004893879949007696,
distance_RightTouch_to_Head_max,0.42299865626352545,0.024516570219466252,0.3284995114151963,0.032708854849906,,,0.04875052725421008,0.09449914484832916,
HeadPosY_mean,0.9515097951897966,0.03465159218353179,0.9587235119649601,0.03244735111796779,,,0.04677273303142273,0.00721371677516347,
Head_OrientationVelocityX_75%,0.2756999854167629,0.07501506862150353,0.13161757320314751,0.05587081770859564,,,0.027506185886078765,0.14408241221361537,
distance_RightTouch_to_Head_50%,0.7782104244760351,0.0531947649155423,0.6060075212161086,0.0432506326798967,,,0.02465842853682703,0.1722029032599265,
Head_OrientationAccelY_std,0.0006550954894447085,0.00018109912607337493,0.020557007762966657,0.026160440080810424,,,0.019185658112168828,0.01990191227352195,
HeadOrientationX_75%,0.5347450507987218,0.023474057920459555,0.4623674439834032,0.017228162983271966,,,0.01827044984523033,0.07237760681531863,
