Feature,Target_Importance,Base_Importance
HeadOrientationX_mean,0.05071325163743099,0.01717056528574855
distance_RightTouch_to_Head_25%,0.04453076572689137,0.02232760887353332
HeadOrientationX_75%,0.041272042917162306,0.03490150275275099
distance_RightTouch_to_Head_50%,0.03413643378675347,0.042444717631141014
HeadOrientationX_50%,0.03276506649047226,0.017636156789069095
distance_LeftTouch_to_Head_50%,0.025812918074911394,0.04784628973300693
distance_LeftTouch_to_Head_25%,0.013279147569377675,0.024706206287334803
