Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadPosX_mean,0.5205663295776135,0.007017187564130644,0.528982135075,0.016145542477948617,,,0.06245309874276979,0.00841580549738652,
RightTouchOrientationX_min,0.25962836520680377,0.06426461314898298,0.4950871271383412,0.09286494211845712,,,0.047696618300747,0.23545876193153742,
HeadOrientationX_mean,0.3276468887484553,0.041308374222204756,0.6154598109659442,0.053590212349273414,,,0.03584204663826435,0.28781292221748883,
HeadOrientationW_mean,0.9856523648908344,0.00710434719783364,0.022402873061037686,0.01793000992983355,,,0.03352665459503625,0.9632494918297967,
HeadPosX_25%,0.5443723797160724,0.006394286162301529,0.5513552016359917,0.017925760032577943,,,0.033177269956148725,0.00698282191991928,
HeadPosX_max,0.45462372834570697,0.0103231424901358,0.4656938636431007,0.014430397313105638,,,0.030743035138649254,0.011070135297393757,
HeadPosX_50%,0.5393196051501906,0.007552183006700194,0.5479215592915357,0.015198330815379532,,,0.030542377213666937,0.008601954141345125,
HeadPosX_min,0.5560125217248103,0.00765887331387628,0.558711862604115,0.022608099871361042,,,0.030379085931520337,0.002699340879304679,
HeadOrientationW_75%,0.9894677382494061,0.00676323261169394,0.026999210027655873,0.028477940257852365,,,0.02894400202693663,0.9624685282217502,
HeadOrientationW_max,0.9943149119126989,0.004365973038768797,0.06265877676046369,0.08974795358125869,,,0.028238844161554488,0.9316561351522352,
