Feature,Target_Importance,Base_Importance
LeftTouchPosX_50%,0.06014629153838324,0.027807276698439437
HeadPosY_50%,0.051224641999133444,0.03191230643330114
HeadPosY_mean,0.03804168894090862,0.039597256885092816
HeadPosY_25%,0.037682263853196424,0.038605240954130135
HeadPosY_max,0.03420342857679462,0.02982621405915406
RightTouchPosX_50%,0.024700876898886025,0.027494570620905164
LeftTouchOrientationY_25%,0.024379788438690958,0.057395435315688886
