Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
LeftTouchPosX_50%,0.2736234011532331,0.08513708798965094,0.5655541283748392,0.1083948295940677,,,0.05503753107278407,0.2919307272216061,
HeadPosX_mean,0.19803049992966099,0.07355635690233484,0.5887422231922722,0.09212399800233126,,,0.05284103088287502,0.3907117232626112,
RightTouchPosX_50%,0.189020421627791,0.05860296544049251,0.6185752057397982,0.08106512554929407,,,0.050771605627635094,0.4295547841120072,
HeadPosX_min,0.1939015651665887,0.08346326258077913,0.572068548944417,0.09215334471636981,,,0.04770664405766923,0.3781669837778283,
HeadPosX_max,0.1901034354213545,0.06572346022963986,0.5699363981298086,0.09613759066566506,,,0.04728858133255776,0.37983296270845407,
LeftTouchPosX_75%,0.2743552839648919,0.08400113111616712,0.5830724034013304,0.1173577366948958,,,0.036052945162286715,0.3087171194364385,
HeadPosX_75%,0.18893896680290115,0.06883367946265034,0.5714495586192274,0.09090183863053618,,,0.026882122289001845,0.3825105918163263,
RightTouchOrientationZ_50%,0.7169281986853452,0.09604275672100283,0.49344851033222625,0.08240878646484599,,,0.026220467155419164,0.22347968835311893,
LeftTouchOrientationY_75%,0.8826739133027477,0.06823836576473254,0.6082763414300902,0.12220049767314686,,,0.02598831542963146,0.27439757187265745,
RightTouchPosX_75%,0.18119516119112125,0.05962384256921977,0.6235900216561622,0.0792148280451627,,,0.02480001323977453,0.44239486046504095,
