Feature,Target_Importance,Base_Importance
HeadOrientationX_75%,0.059933597879135644,0.01827044984523033
HeadPosY_50%,0.0372914184386497,0.06686948439273047
distance_RightTouch_to_Head_50%,0.03155923526805306,0.02465842853682703
HeadPosY_75%,0.0258270556252948,0.0524051826548277
HeadPosY_25%,0.01822724638255699,0.0566175210214603
HeadPosY_max,0.017676698128715675,0.061735819073954215
