Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
LeftTouchPosX_50%,0.5041451699578932,0.016275009160057426,0.3480085188687161,0.012298881342565272,,,0.06014629153838324,0.15613665108917707,
HeadPosY_50%,0.5228961429349372,0.010556470287775068,0.3134434270140029,0.010249929025800556,,,0.051224641999133444,0.20945271592093434,
LeftTouchPosZ_max,0.3876666412548039,0.008516611189997057,0.43709459185583677,0.015506459082760424,,,0.0401021705513737,0.04942795060103289,
HeadPosY_mean,0.45164918622461997,0.013246473059326443,0.2118957140891764,0.011561871633434716,,,0.03804168894090862,0.23975347213544357,
HeadPosY_25%,0.5434959480192736,0.01390494063943442,0.34583158952874793,0.010342319197277098,,,0.037682263853196424,0.19766435849052566,
HeadPosY_max,0.4216946223646289,0.016118721418506253,0.16893025540517353,0.01483673317798504,,,0.03420342857679462,0.25276436695945537,
HeadPosY_75%,0.4302235823685466,0.012369291391211453,0.18501145942080668,0.012389326057878432,,,0.0330667467671579,0.2452121229477399,
LeftTouchPosZ_75%,0.4070816007209406,0.007198798036319844,0.4467478964890647,0.012089864384498054,,,0.027598513588062246,0.03966629576812414,
LeftTouchOrientationY_min,0.578307359010461,0.025345409566977832,0.8123072769792059,0.13071270900519083,,,0.02617064820035286,0.23399991796874486,
RightTouchPosX_50%,0.5233780211967295,0.03259646463247876,0.3408199982268633,0.005050607863143142,,,0.024700876898886025,0.18255802296986617,
