Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
Accel_HeadPosZ_min,0.9881376476318844,0.01910452791313346,0.9999595348372806,2.193085979225778e-05,,,0.058906322784911626,0.011821887205396231,
Head_OrientationVelocityZ_min,0.9217802615052607,0.04642009502135509,0.9880799484203049,0.0058357886009746274,,,0.04095982857472831,0.06629968691504418,
Head_OrientationAccelZ_min,0.9487558730222351,0.028997294314850736,0.9996175805440608,0.00017141037300942179,,,0.03992873558548163,0.05086170752182573,
Accel_HeadPosX_max,0.010136468560126542,0.013849056181441966,2.8817251099168502e-05,1.72048701389954e-05,,,0.0391905700006762,0.010107651309027374,
Head_OrientationAccelX_min,0.966642055679846,0.02823842941607097,0.9994381318216907,0.0002322772100714685,,,0.03879130061905208,0.032796076141844765,
Head_OrientationAccelY_min,0.9858718090524705,0.020942771862851744,0.9998425542689764,6.0444847666149125e-05,,,0.038783421861454885,0.013970745216505875,
Accel_HeadPosY_std,0.0690532996035656,0.11726615172624376,0.000883031128907515,0.0006871266217095922,,,0.03818330957926943,0.06817026847465808,
Accel_RightTouchPosX_min,0.8142135887726122,0.15801108887453844,0.997421764532244,0.003580602197338183,,,0.037804948753029984,0.18320817575963178,
Accel_RightTouchPosZ_min,0.8442459686588744,0.14635187181687012,0.9951921297369293,0.010268050588814947,,,0.02918251250307267,0.15094616107805492,
Head_OrientationAccelY_std,0.020557007762966657,0.026160440080810424,0.0006550954894447085,0.00018109912607337493,,,0.028798097100020518,0.01990191227352195,
