Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadOrientationX_mean,0.340978449717003,0.0684723052579677,0.4876513900714835,0.01442099955936682,,,0.059719299144340404,0.14667294035448053,
HeadOrientationX_50%,0.37395971548854867,0.06095540297549207,0.5081928483847957,0.013639683468895276,,,0.046867977988292606,0.13423313289624705,
HeadOrientationX_75%,0.324553475357292,0.07178075773140974,0.46515449885508164,0.017234381820488816,,,0.04591015996471633,0.14060102349778963,
distance_LeftTouch_to_Head_min,0.6509984967663475,0.06439108037609209,0.33845915679392236,0.198043720565392,,,0.03815482879832643,0.3125393399724251,
HeadOrientationX_25%,0.40723602530971975,0.06431375838728648,0.544894642538165,0.014224957001900197,,,0.03705113098325102,0.13765861722844525,
HeadOrientationX_min,0.4130413495138339,0.09450637599372753,0.5575332486610738,0.02871691468350366,,,0.033689183639648915,0.14449189914723987,
Accel_RightTouchPosZ_max,0.0005798651627600382,0.00026950268385513715,0.0023011256329035167,0.001967069143398362,,,0.02535543353549377,0.0017212604701434785,
Velocity_RightTouchPosY_std,0.09906931235070225,0.045987489593429146,0.25359145637911945,0.12146698749727719,,,0.02349474901506636,0.15452214402841719,
HeadOrientationW_max,0.954150535246866,0.12595266441589845,0.681574964718132,0.22362138802589432,,,0.021397899447575624,0.27257557052873405,
angle_LeftTouch_to_RightTouch_min,0.3791874638402372,0.057553183327709874,0.1815171489354591,0.13359554697530607,,,0.017662594262353407,0.19767031490477813,
