Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
distance_LeftTouch_to_Head_50%,0.4907542567277864,0.06138880018348065,0.752460892919386,0.048960621666317566,,,0.054981531168958354,0.2617066361915996,
Accel_LeftTouchPosY_50%,0.6028657419988808,0.13512129334811157,0.8181206101850734,0.2982148001075421,,,0.042929974175258845,0.21525486818619266,
distance_LeftTouch_to_Head_mean,0.45914671241495986,0.05096751173527055,0.6708620559643855,0.048032083136564006,,,0.04141047352540018,0.21171534354942567,
angle_LeftTouch_to_RightTouch_75%,0.4241885781405715,0.03600355457578958,0.48168333792786205,0.045635740903362136,,,0.03309384802145306,0.05749475978729057,
distance_LeftTouch_to_Head_25%,0.4566884995285015,0.04339282832822751,0.6914460395953601,0.07663691486211835,,,0.029608916944158195,0.23475754006685862,
distance_LeftTouch_to_Head_75%,0.39060337707123965,0.059704882746830425,0.5816669997708672,0.027340910878810024,,,0.029581117642877824,0.19106362269962757,
LeftTouchOrientationZ_min,0.509177297777857,0.12605618533626142,0.2881358381134155,0.12576261197843996,,,0.02890802185031973,0.22104145966444155,
LeftTouchPosY_75%,0.5018416344129213,0.02192671074831816,0.3358266617786967,0.04247961612328145,,,0.028203843348730905,0.1660149726342246,
LeftTouchOrientationW_50%,0.8894447530249945,0.23078497255038938,0.688343694036703,0.3147973232128159,,,0.027539648718405987,0.20110105898829145,
angle_LeftTouch_to_RightTouch_50%,0.3847490904088037,0.034024563254724895,0.4445715212343486,0.05126317381496825,,,0.024213053824520853,0.05982243082554495,
