Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
HeadPosY_50%,0.6520881520135473,0.01037755448820817,0.8365808362824178,0.008016098720043427,,,0.07779908407361719,0.18449268426887044,
RightTouchPosY_25%,0.3387413917833811,0.04406750706642372,0.43704086206179754,0.04069123587458226,,,0.07121242887390973,0.09829947027841646,
HeadPosY_25%,0.6516043002185378,0.055139934253792454,0.8368440028472027,0.022546889324252365,,,0.06412774849006794,0.18523970262866496,
HeadPosY_mean,0.5839903911673816,0.041408916333970015,0.8033960987294364,0.030252927477271468,,,0.058464958179076626,0.2194057075620548,
HeadPosY_75%,0.5822380713113551,0.011664114394050846,0.7966525994791408,0.006654286092680838,,,0.0440693957387954,0.21441452816778572,
RightTouchPosY_min,0.2712630206544306,0.08545627430548546,0.4168228042824918,0.06210676377459817,,,0.041466269081841915,0.1455597836280612,
LeftTouchPosY_25%,0.3292637190459678,0.05634311519631474,0.42759706703641687,0.0440635600162085,,,0.035767633645065196,0.09833334799044907,
HeadPosY_min,0.5546574483658998,0.16858715765375612,0.7775063679417001,0.12349581251664898,,,0.03427744525915007,0.22284891957580033,
HeadOrientationY_50%,0.20018172071696327,0.07918744468176543,0.5722764416021752,0.4410028805905123,,,0.03318305544932526,0.3720947208852119,
LeftTouchPosY_min,0.32041659550773954,0.12070898115818984,0.4535260075662459,0.06702188093454367,,,0.029908565895957064,0.13310941205850635,
