Target_User_ID,Base_User_ID,Intruder_Type,Adaptation_Factor,Authentication_Success,Confidence,Game_Type,Num_Samples,Genuine_Votes,Total_Votes,Genuine_Percent
39,31,physical,0.88,False,0.08666666666666667,forklift_simulator,3,0,3,0.0
39,31,physical,0.88,False,0.07333333333333333,forklift_simulator,3,0,3,0.0
39,31,physical,0.88,False,0.12666666666666668,forklift_simulator,3,0,3,0.0
39,31,physical,0.88,False,0.085,forklift_simulator,4,0,4,0.0
39,31,physical,0.88,False,0.10750000000000001,forklift_simulator,4,0,4,0.0
39,31,physical,0.88,False,0.078,forklift_simulator,5,0,5,0.0
39,31,physical,0.88,False,0.11399999999999999,forklift_simulator,5,0,5,0.0
39,31,physical,0.88,False,0.08,forklift_simulator,6,0,6,0.0
39,31,physical,0.88,False,0.09571428571428571,forklift_simulator,7,0,7,0.0
39,31,physical,0.88,False,0.09624999999999999,forklift_simulator,8,0,8,0.0
39,31,physical,0.88,False,0.09555555555555555,forklift_simulator,9,0,9,0.0
39,31,physical,0.88,False,0.09599999999999999,forklift_simulator,10,0,10,0.0
44,31,physical,0.98,False,0.2933333333333334,forklift_simulator,3,0,3,0.0
44,31,physical,0.98,False,0.27666666666666667,forklift_simulator,3,0,3,0.0
44,31,physical,0.98,False,0.2866666666666667,forklift_simulator,3,0,3,0.0
44,31,physical,0.98,False,0.29250000000000004,forklift_simulator,4,0,4,0.0
44,31,physical,0.98,False,0.28,forklift_simulator,4,0,4,0.0
44,31,physical,0.98,False,0.29000000000000004,forklift_simulator,5,0,5,0.0
44,31,physical,0.98,False,0.28400000000000003,forklift_simulator,5,0,5,0.0
44,31,physical,0.98,False,0.28500000000000003,forklift_simulator,6,0,6,0.0
44,31,physical,0.98,False,0.2857142857142857,forklift_simulator,7,0,7,0.0
44,31,physical,0.98,False,0.28625,forklift_simulator,8,0,8,0.0
44,31,physical,0.98,False,0.28555555555555556,forklift_simulator,9,0,9,0.0
44,31,physical,0.98,False,0.28700000000000003,forklift_simulator,10,0,10,0.0
45,31,physical,0.85,False,0.15333333333333335,forklift_simulator,3,0,3,0.0
45,31,physical,0.85,False,0.2466666666666667,forklift_simulator,3,0,3,0.0
45,31,physical,0.85,False,0.24,forklift_simulator,3,0,3,0.0
45,31,physical,0.85,False,0.19,forklift_simulator,4,0,4,0.0
45,31,physical,0.85,False,0.21500000000000002,forklift_simulator,4,0,4,0.0
45,31,physical,0.85,False,0.20800000000000002,forklift_simulator,5,0,5,0.0
45,31,physical,0.85,False,0.22200000000000003,forklift_simulator,5,0,5,0.0
45,31,physical,0.85,False,0.19999999999999998,forklift_simulator,6,0,6,0.0
45,31,physical,0.85,False,0.19428571428571426,forklift_simulator,7,0,7,0.0
45,31,physical,0.85,False,0.20249999999999999,forklift_simulator,8,0,8,0.0
45,31,physical,0.85,False,0.21333333333333332,forklift_simulator,9,0,9,0.0
45,31,physical,0.85,False,0.215,forklift_simulator,10,0,10,0.0
46,31,physical,0.88,False,0.15666666666666665,forklift_simulator,3,0,3,0.0
46,31,physical,0.88,False,0.15666666666666665,forklift_simulator,3,0,3,0.0
46,31,physical,0.88,False,0.13,forklift_simulator,3,0,3,0.0
46,31,physical,0.88,False,0.16249999999999998,forklift_simulator,4,0,4,0.0
46,31,physical,0.88,False,0.1375,forklift_simulator,4,0,4,0.0
46,31,physical,0.88,False,0.16399999999999998,forklift_simulator,5,0,5,0.0
46,31,physical,0.88,False,0.126,forklift_simulator,5,0,5,0.0
46,31,physical,0.88,False,0.15666666666666665,forklift_simulator,6,0,6,0.0
46,31,physical,0.88,False,0.15285714285714283,forklift_simulator,7,0,7,0.0
46,31,physical,0.88,False,0.14999999999999997,forklift_simulator,8,0,8,0.0
46,31,physical,0.88,False,0.14777777777777773,forklift_simulator,9,0,9,0.0
