Target_User_ID,Authentication_Success
25,0.4636363636363636
12,0.33181818181818185
1,0.1590909090909091
10,0.104
11,0.016
15,0.013043478260869565
2,0.0
8,0.0
9,0.0
14,0.0
13,0.0
16,0.0
17,0.0
23,0.0
24,0.0
26,0.0
27,0.0
28,0.0
29,0.0
