Feature,Target_Mean,Target_Std,Base_Mean,Base_Std,Intruder_Mean,Intruder_Std,Importance,Mean_Diff_Target_Base,Mean_Diff_Target_Intruder
Accel_HeadPosZ_min,0.9881376476318844,0.01910452791313346,0.9999595348372806,2.193085979225778e-05,,,0.046982576779201604,0.011821887205396231,
Accel_HeadPosY_std,0.0690532996035656,0.11726615172624376,0.000883031128907515,0.0006871266217095922,,,0.04658432489167202,0.06817026847465808,
Accel_HeadPosX_max,0.010136468560126542,0.013849056181441966,2.8817251099168502e-05,1.72048701389954e-05,,,0.045931199587712586,0.010107651309027374,
Head_OrientationAccelZ_max,0.11563972222483879,0.10425301723880258,0.0005140267642804235,0.00020288055232463786,,,0.03902667781741431,0.11512569546055837,
HeadPosY_max,0.9479536330426588,0.009989266809991458,0.9466665820965839,0.00851910692185639,,,0.03869521495629846,0.0012870509460748414,
Accel_HeadPosY_max,0.05101837212236051,0.10414379910402857,0.0002200645955266718,0.00020221514017108592,,,0.037903512863329415,0.05079830752683384,
Accel_HeadPosX_75%,0.22509793617617907,0.19253524653517265,0.016135824969866538,0.00762273960592079,,,0.03677867551598898,0.20896211120631253,
Head_OrientationVelocityZ_std,0.26014539794692404,0.09847032561105916,0.07508776157452428,0.025899503613736996,,,0.036568687944919034,0.18505763637239975,
Head_OrientationAccelZ_min,0.9487558730222351,0.028997294314850736,0.9996175805440608,0.00017141037300942179,,,0.0303746838252733,0.05086170752182573,
Accel_HeadPosZ_max,0.006003114481757094,0.006576064901601565,2.6286287334906108e-05,1.3566358562175889e-05,,,0.028655301265582845,0.0059768281944221876,
