Target_User_ID,Base_User_ID,Intruder_Type,Adaptation_Factor,Authentication_Success,Confidence,Game_Type,Time_Interval
39,31,physical,0.88,False,0.1,forklift_simulator,1
39,31,physical,0.88,False,0.08,forklift_simulator,2
39,31,physical,0.88,False,0.08,forklift_simulator,3
39,31,physical,0.88,False,0.08,forklift_simulator,4
39,31,physical,0.88,False,0.05,forklift_simulator,5
39,31,physical,0.88,False,0.09,forklift_simulator,6
39,31,physical,0.88,False,0.19,forklift_simulator,7
39,31,physical,0.88,False,0.1,forklift_simulator,8
39,31,physical,0.88,False,0.09,forklift_simulator,9
39,31,physical,0.88,False,0.1,forklift_simulator,10
44,31,physical,0.98,False,0.3,forklift_simulator,1
44,31,physical,0.98,False,0.28,forklift_simulator,2
44,31,physical,0.98,False,0.3,forklift_simulator,3
44,31,physical,0.98,False,0.29,forklift_simulator,4
44,31,physical,0.98,False,0.28,forklift_simulator,5
44,31,physical,0.98,False,0.26,forklift_simulator,6
44,31,physical,0.98,False,0.29,forklift_simulator,7
44,31,physical,0.98,False,0.29,forklift_simulator,8
44,31,physical,0.98,False,0.28,forklift_simulator,9
44,31,physical,0.98,False,0.3,forklift_simulator,10
45,31,physical,0.85,False,0.17,forklift_simulator,1
45,31,physical,0.85,False,0.13,forklift_simulator,2
45,31,physical,0.85,False,0.16,forklift_simulator,3
45,31,physical,0.85,False,0.3,forklift_simulator,4
45,31,physical,0.85,False,0.28,forklift_simulator,5
45,31,physical,0.85,False,0.16,forklift_simulator,6
45,31,physical,0.85,False,0.16,forklift_simulator,7
45,31,physical,0.85,False,0.26,forklift_simulator,8
45,31,physical,0.85,False,0.3,forklift_simulator,9
45,31,physical,0.85,False,0.23,forklift_simulator,10
46,31,physical,0.88,False,0.16,forklift_simulator,1
46,31,physical,0.88,False,0.16,forklift_simulator,2
46,31,physical,0.88,False,0.15,forklift_simulator,3
46,31,physical,0.88,False,0.18,forklift_simulator,4
46,31,physical,0.88,False,0.17,forklift_simulator,5
46,31,physical,0.88,False,0.12,forklift_simulator,6
46,31,physical,0.88,False,0.13,forklift_simulator,7
46,31,physical,0.88,False,0.13,forklift_simulator,8
46,31,physical,0.88,False,0.13,forklift_simulator,9
46,31,physical,0.88,False,0.12,forklift_simulator,10
53,31,physical,0.92,False,0.33,forklift_simulator,1
53,31,physical,0.92,False,0.34,forklift_simulator,2
53,31,physical,0.92,False,0.34,forklift_simulator,3
53,31,physical,0.92,False,0.35,forklift_simulator,4
53,31,physical,0.92,True,0.51,forklift_simulator,5
53,31,physical,0.92,False,0.35,forklift_simulator,6
53,31,physical,0.92,False,0.34,forklift_simulator,7
53,31,physical,0.92,False,0.29,forklift_simulator,8
53,31,physical,0.92,False,0.43,forklift_simulator,9
53,31,physical,0.92,False,0.42,forklift_simulator,10
54,31,physical,0.94,False,0.34,forklift_simulator,1
54,31,physical,0.94,False,0.37,forklift_simulator,2
54,31,physical,0.94,False,0.37,forklift_simulator,3
54,31,physical,0.94,False,0.36,forklift_simulator,4
54,31,physical,0.94,False,0.3,forklift_simulator,5
54,31,physical,0.94,False,0.36,forklift_simulator,6
54,31,physical,0.94,False,0.35,forklift_simulator,7
54,31,physical,0.94,False,0.37,forklift_simulator,8
54,31,physical,0.94,False,0.34,forklift_simulator,9
54,31,physical,0.94,False,0.32,forklift_simulator,10
55,31,physical,0.86,False,0.11,forklift_simulator,1
55,31,physical,0.86,False,0.14,forklift_simulator,2
55,31,physical,0.86,False,0.11,forklift_simulator,3
55,31,physical,0.86,False,0.11,forklift_simulator,4
55,31,physical,0.86,False,0.11,forklift_simulator,5
55,31,physical,0.86,False,0.11,forklift_simulator,6
55,31,physical,0.86,False,0.11,forklift_simulator,7
55,31,physical,0.86,False,0.1,forklift_simulator,8
55,31,physical,0.86,False,0.12,forklift_simulator,9
55,31,physical,0.86,False,0.11,forklift_simulator,10
57,31,physical,0.95,False,0.22,forklift_simulator,1
57,31,physical,0.95,False,0.25,forklift_simulator,2
57,31,physical,0.95,False,0.24,forklift_simulator,3
57,31,physical,0.95,False,0.2,forklift_simulator,4
57,31,physical,0.95,False,0.21,forklift_simulator,5
57,31,physical,0.95,False,0.25,forklift_simulator,6
57,31,physical,0.95,False,0.23,forklift_simulator,7
57,31,physical,0.95,False,0.22,forklift_simulator,8
57,31,physical,0.95,False,0.25,forklift_simulator,9
57,31,physical,0.95,False,0.23,forklift_simulator,10
31,32,physical,0.98,False,0.29,forklift_simulator,1
31,32,physical,0.98,False,0.26,forklift_simulator,2
31,32,physical,0.98,False,0.26,forklift_simulator,3
31,32,physical,0.98,False,0.27,forklift_simulator,4
31,32,physical,0.98,False,0.28,forklift_simulator,5
31,32,physical,0.98,False,0.25,forklift_simulator,6
31,32,physical,0.98,False,0.27,forklift_simulator,7
31,32,physical,0.98,False,0.28,forklift_simulator,8
31,32,physical,0.98,False,0.26,forklift_simulator,9
31,32,physical,0.98,False,0.32,forklift_simulator,10
41,32,physical,0.92,False,0.13,forklift_simulator,1
41,32,physical,0.92,False,0.12,forklift_simulator,2
41,32,physical,0.92,False,0.14,forklift_simulator,3
41,32,physical,0.92,False,0.14,forklift_simulator,4
41,32,physical,0.92,False,0.14,forklift_simulator,5
41,32,physical,0.92,False,0.1,forklift_simulator,6
41,32,physical,0.92,False,0.11,forklift_simulator,7
41,32,physical,0.92,False,0.12,forklift_simulator,8
41,32,physical,0.92,False,0.12,forklift_simulator,9
41,32,physical,0.92,False,0.12,forklift_simulator,10
43,32,physical,0.96,False,0.34,forklift_simulator,1
43,32,physical,0.96,False,0.33,forklift_simulator,2
43,32,physical,0.96,False,0.33,forklift_simulator,3
43,32,physical,0.96,False,0.33,forklift_simulator,4
43,32,physical,0.96,False,0.34,forklift_simulator,5
