Target_User_ID,Base_User_ID,Feature,Mean_Similarity,Std_Similarity,Combined_Similarity,Feature_Importance,Success_Rate
25,10,HeadPosY_50%,0.8760686999728927,0.8716157982546202,0.8738422491137565,0.07779908407361719,0.4636363636363636
25,10,RightTouchPosY_25%,0.8732898715791808,0.9601661058629376,0.9167279887210592,0.07121242887390973,0.4636363636363636
25,10,HeadPosY_25%,0.875548448002787,0.5804559997055763,0.7280022238541817,0.06412774849006794,0.4636363636363636
25,10,HeadPosY_mean,0.8418568239071287,0.844324584651639,0.8430907042793838,0.058464958179076626,0.4636363636363636
25,10,HeadPosY_75%,0.8445021558599081,0.7265140277864881,0.785508091823198,0.0440693957387954,0.4636363636363636
25,10,RightTouchPosY_min,0.7884569391820065,0.8417658700149965,0.8151114045985015,0.041466269081841915,0.4636363636363636
25,10,LeftTouchPosY_25%,0.8700773662747021,0.8777018168250945,0.8738895915498983,0.035767633645065196,0.4636363636363636
25,10,HeadPosY_min,0.8327165809677646,0.845621456235484,0.8391690186016243,0.03427744525915007,0.4636363636363636
25,10,HeadOrientationY_50%,0.5182979037323432,0.30445567444199895,0.41137678908717107,0.03318305544932526,0.4636363636363636
25,10,LeftTouchPosY_min,0.8280112636131826,0.7140209299346016,0.7710160967738922,0.029908565895957064,0.4636363636363636
12,11,Accel_HeadPosZ_min,0.9940536673709026,0.002293769963780279,0.49817371866734145,0.046982576779201604,0.33181818181818185
12,11,Accel_HeadPosY_std,0.025252568826424127,0.011650910819588245,0.018451739823006186,0.04658432489167202,0.33181818181818185
12,11,Accel_HeadPosX_max,0.005670715665222259,0.0024822636273266196,0.004076489646274439,0.045931199587712586,0.33181818181818185
12,11,Head_OrientationAccelZ_max,0.008850884702380823,0.00388461613354274,0.006367750417961782,0.03902667781741431,0.33181818181818185
12,11,HeadPosY_max,0.9993206813011931,0.9205678945587601,0.9599442879299767,0.03869521495629846,0.33181818181818185
12,11,Accel_HeadPosY_max,0.008590018223555651,0.0038759529485825617,0.006232985586069106,0.037903512863329415,0.33181818181818185
12,11,Accel_HeadPosX_75%,0.13377753780665913,0.07616727538126877,0.10497240659396395,0.03677867551598898,0.33181818181818185
12,11,Head_OrientationVelocityZ_std,0.44797337138036486,0.41649179214462306,0.43223258176249396,0.036568687944919034,0.33181818181818185
12,11,Head_OrientationAccelZ_min,0.9738952985796016,0.011753371709639637,0.4928243351446206,0.0303746838252733,0.33181818181818185
12,11,Accel_HeadPosZ_max,0.008721013824329438,0.004118997689363968,0.006420005756846703,0.028655301265582845,0.33181818181818185
1,11,HeadOrientationX_75%,0.8422612627730478,0.7915128992162679,0.8168870809946578,0.059933597879135644,0.1590909090909091
1,11,HeadOrientationX_mean,0.8559013736576302,0.798108903161115,0.8270051384093726,0.040594703219643063,0.1590909090909091
1,11,HeadOrientationX_50%,0.8681465173996905,0.7992007319691349,0.8336736246844128,0.037664957837162005,0.1590909090909091
1,11,HeadPosY_50%,0.896292256109698,0.8571273332766746,0.8767097946931863,0.0372914184386497,0.1590909090909091
1,11,distance_RightTouch_to_Head_50%,0.7348607654732046,0.7172971783664843,0.7260789719198444,0.03155923526805306,0.1590909090909091
1,11,HeadOrientationX_25%,0.8835515298849426,0.858628222003581,0.8710898759442618,0.02896047026688635,0.1590909090909091
1,11,HeadPosY_75%,0.8739758224890725,0.6006518282726818,0.7373138253808771,0.0258270556252948,0.1590909090909091
1,11,distance_RightTouch_to_Head_25%,0.6980357860421234,0.9388103624658187,0.8184230742539711,0.025500059344002745,0.1590909090909091
1,11,distance_RightTouch_to_Head_mean,0.764898008976414,0.7695380095194351,0.7672180092479246,0.0214503138229187,0.1590909090909091
1,11,HeadOrientationW_min,0.09904351564310732,0.7417503383451804,0.4203969269941439,0.019915638563587704,0.1590909090909091
10,11,HeadPosX_mean,0.5033995119375101,0.8879309499910844,0.6956652309642972,0.06629461963805418,0.104
10,11,LeftTouchPosX_50%,0.6521228065925371,0.8798247819117295,0.7659737942521333,0.061911741865536066,0.104
10,11,HeadPosX_max,0.5002459858765482,0.8120972995741225,0.6561716427253353,0.05695561360162202,0.104
10,11,HeadPosX_min,0.5062901647544891,0.9505167434076767,0.7284034540810829,0.053136194766193634,0.104
10,11,RightTouchPosX_50%,0.4681066065287709,0.8391747295938095,0.6536406680612902,0.050969990367976885,0.104
10,11,RightTouchPosX_25%,0.45918608014747175,0.8614206542774304,0.6603033672124511,0.044358423848487545,0.104
10,11,LeftTouchPosX_75%,0.6399496769410051,0.8343425135194311,0.7371460952302181,0.03166734465836674,0.104
10,11,HeadPosX_25%,0.5422280205063221,0.9111330545960324,0.7266805375511773,0.030766363597413564,0.104
10,11,HeadPosX_50%,0.5495993346168185,0.8810835289447664,0.7153414317807925,0.03013907633574142,0.104
10,11,LeftTouchPosX_mean,0.6309902372273102,0.868137437014796,0.7495638371210531,0.02931549822470566,0.104
11,12,HeadPosY_50%,0.9960634751349337,0.32506837588706305,0.6605659255109984,0.06686948439273047,0.016
11,12,HeadPosY_max,0.9993206813011931,0.9205678945587601,0.9599442879299767,0.061735819073954215,0.016
11,12,HeadPosY_25%,0.9952331050090704,0.6141690917595323,0.8047010983843013,0.0566175210214603,0.016
11,12,HeadPosY_75%,0.9974100050544457,0.9157056178690166,0.9565578114617311,0.0524051826548277,0.016
11,12,distance_RightTouch_to_Head_max,0.8742523300053442,0.8568418987027613,0.8655471143540527,0.04875052725421008,0.016
11,12,HeadPosY_mean,0.9962236462371475,0.9671493971648177,0.9816865217009827,0.04677273303142273,0.016
