Target_User_ID,Base_User_ID,Feature,Mean_Similarity,Std_Similarity,Combined_Similarity,Feature_Importance,Success_Rate
12,11,Accel_HeadPosZ_min,0.9940536673709026,0.002293769963780279,0.49817371866734145,0.058906322784911626,0.5681818181818182
12,11,Head_OrientationVelocityZ_min,0.9652855815188255,0.22335446574320583,0.5943200236310157,0.04095982857472831,0.5681818181818182
12,11,Head_OrientationAccelZ_min,0.9738952985796016,0.011753371709639637,0.4928243351446206,0.03992873558548163,0.5681818181818182
12,11,Accel_HeadPosX_max,0.005670715665222259,0.0024822636273266196,0.004076489646274439,0.0391905700006762,0.5681818181818182
12,11,Head_OrientationAccelX_min,0.9833190547448056,0.016317271751297158,0.4998181632480514,0.03879130061905208,0.5681818181818182
12,11,Head_OrientationAccelY_min,0.9929643732229538,0.005756243885695733,0.4993603085543248,0.038783421861454885,0.5681818181818182
12,11,Accel_HeadPosY_std,0.025252568826424127,0.011650910819588245,0.018451739823006186,0.03818330957926943,0.5681818181818182
12,11,Accel_RightTouchPosX_min,0.8988713846778658,0.04431672138590237,0.47159405303188406,0.037804948753029984,0.5681818181818182
12,11,Accel_RightTouchPosZ_min,0.9179389834378843,0.13112067450288623,0.5245298289703852,0.02918251250307267,0.5681818181818182
12,11,Head_OrientationAccelY_std,0.06176664075374372,0.013750453676889096,0.03775854721531641,0.028798097100020518,0.5681818181818182
10,11,LeftTouchPosX_50%,0.6521228065925371,0.8798247819117295,0.7659737942521333,0.05503753107278407,0.1
10,11,HeadPosX_mean,0.5033995119375101,0.8879309499910844,0.6956652309642972,0.05284103088287502,0.1
10,11,RightTouchPosX_50%,0.4681066065287709,0.8391747295938095,0.6536406680612902,0.050771605627635094,0.1
10,11,HeadPosX_min,0.5062901647544891,0.9505167434076767,0.7284034540810829,0.04770664405766923,0.1
10,11,HeadPosX_max,0.5002459858765482,0.8120972995741225,0.6561716427253353,0.04728858133255776,0.1
10,11,LeftTouchPosX_75%,0.6399496769410051,0.8343425135194311,0.7371460952302181,0.036052945162286715,0.1
10,11,HeadPosX_75%,0.496953762455169,0.8618456430368345,0.6793997027460017,0.026882122289001845,0.1
10,11,RightTouchOrientationZ_50%,0.8153635270393245,0.9235984780588729,0.8694810025490987,0.026220467155419164,0.1
10,11,LeftTouchOrientationY_75%,0.8159579307483965,0.7166432938072562,0.7663006122778264,0.02598831542963146,0.1
10,11,RightTouchPosX_75%,0.4502944830534549,0.8588938947759385,0.6545941889146967,0.02480001323977453,0.1
1,11,HeadOrientationX_mean,0.8559013736576302,0.798108903161115,0.8270051384093726,0.05071325163743099,0.05
1,11,distance_RightTouch_to_Head_25%,0.6980357860421234,0.9388103624658187,0.8184230742539711,0.04453076572689137,0.05
1,11,HeadOrientationX_75%,0.8422612627730478,0.7915128992162679,0.8168870809946578,0.041272042917162306,0.05
1,11,distance_RightTouch_to_Head_50%,0.7348607654732046,0.7172971783664843,0.7260789719198444,0.03413643378675347,0.05
1,11,HeadOrientationX_50%,0.8681465173996905,0.7992007319691349,0.8336736246844128,0.03276506649047226,0.05
1,11,HeadOrientationW_min,0.09904351564310732,0.7417503383451804,0.4203969269941439,0.031621519496369335,0.05
1,11,HeadOrientationX_25%,0.8835515298849426,0.858628222003581,0.8710898759442618,0.027962944133603677,0.05
1,11,distance_LeftTouch_to_Head_50%,0.7640236300520398,0.728833288422214,0.7464284592371269,0.025812918074911394,0.05
1,11,HeadOrientationW_75%,0.1614005699253489,0.8727232911923238,0.5170619305588364,0.02486092743511139,0.05
1,11,distance_RightTouch_to_Head_mean,0.764898008976414,0.7695380095194351,0.7672180092479246,0.02252131386486477,0.05
16,10,HeadOrientationX_mean,0.8229934144999486,0.3479413168877431,0.5854673656938458,0.059719299144340404,0.036
16,10,HeadOrientationX_50%,0.8478345618753251,0.3656993319678601,0.6067669469215926,0.046867977988292606,0.036
16,10,HeadOrientationX_75%,0.8219582094791406,0.38722367837938954,0.604590943929265,0.04591015996471633,0.036
16,10,distance_LeftTouch_to_Head_min,0.6841306591655019,0.4907206109211599,0.5874256350433309,0.03815482879832643,0.036
16,10,HeadOrientationX_25%,0.8554204581039264,0.3622407145369515,0.608830586320439,0.03705113098325102,0.036
16,10,HeadOrientationX_min,0.8511274682747512,0.4660956089583126,0.6586115386165319,0.033689183639648915,0.036
16,10,Accel_RightTouchPosZ_max,0.40254772829834085,0.24099961876743836,0.3217736735328896,0.02535543353549377,0.036
16,10,Velocity_RightTouchPosY_std,0.5618391572066517,0.549253655633829,0.5555464064202403,0.02349474901506636,0.036
16,10,HeadOrientationW_max,0.8333610566881929,0.720606492004084,0.7769837743461385,0.021397899447575624,0.036
16,10,angle_LeftTouch_to_RightTouch_min,0.6474608789094041,0.6021822402436392,0.6248215595765216,0.017662594262353407,0.036
